date,service,cost,usage,total_daily_cost
2025-08-14,cloud_functions,0.0,0 functions,0.26
2025-08-14,cloud_run,0.19,19 services,0.26
2025-08-14,firestore,0.04,1 database,0.26
2025-08-14,pubsub,0.02,10GB/month,0.26
2025-08-14,storage,0.01,5GB,0.26
2025-08-14,bigquery,0.0,1TB/month,0.26
2025-08-14,speech,0.0,60 minutes/month,0.26
2025-08-14,cloudbuild,0.0,120 build-minutes/day,0.26
2025-08-14,logging,0.0,50GB/month,0.26
2025-08-14,monitoring,0.0,Basic monitoring,0.26
2025-08-14,aiplatform,0.0,Not enabled,0.26
2025-08-14,cloudaicompanion,0.0,Basic usage,0.26
2025-08-13,cloud_functions,1.44,18 functions,1.7
2025-08-13,cloud_run,0.19,19 services,1.7
2025-08-13,firestore,0.04,1 database,1.7
2025-08-13,pubsub,0.02,10GB/month,1.7
2025-08-13,storage,0.01,5GB,1.7
2025-08-13,bigquery,0.0,1TB/month,1.7
2025-08-13,speech,0.0,60 minutes/month,1.7
2025-08-13,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-13,logging,0.0,50GB/month,1.7
2025-08-13,monitoring,0.0,Basic monitoring,1.7
2025-08-13,aiplatform,0.0,Not enabled,1.7
2025-08-13,cloudaicompanion,0.0,Basic usage,1.7
2025-08-12,cloud_functions,1.44,18 functions,1.7
2025-08-12,cloud_run,0.19,19 services,1.7
2025-08-12,firestore,0.04,1 database,1.7
2025-08-12,pubsub,0.02,10GB/month,1.7
2025-08-12,storage,0.01,5GB,1.7
2025-08-12,bigquery,0.0,1TB/month,1.7
2025-08-12,speech,0.0,60 minutes/month,1.7
2025-08-12,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-12,logging,0.0,50GB/month,1.7
2025-08-12,monitoring,0.0,Basic monitoring,1.7
2025-08-12,aiplatform,0.0,Not enabled,1.7
2025-08-12,cloudaicompanion,0.0,Basic usage,1.7
2025-08-11,cloud_functions,1.44,18 functions,1.7
2025-08-11,cloud_run,0.19,19 services,1.7
2025-08-11,firestore,0.04,1 database,1.7
2025-08-11,pubsub,0.02,10GB/month,1.7
2025-08-11,storage,0.01,5GB,1.7
2025-08-11,bigquery,0.0,1TB/month,1.7
2025-08-11,speech,0.0,60 minutes/month,1.7
2025-08-11,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-11,logging,0.0,50GB/month,1.7
2025-08-11,monitoring,0.0,Basic monitoring,1.7
2025-08-11,aiplatform,0.0,Not enabled,1.7
2025-08-11,cloudaicompanion,0.0,Basic usage,1.7
2025-08-10,cloud_functions,1.44,18 functions,1.7
2025-08-10,cloud_run,0.19,19 services,1.7
2025-08-10,firestore,0.04,1 database,1.7
2025-08-10,pubsub,0.02,10GB/month,1.7
2025-08-10,storage,0.01,5GB,1.7
2025-08-10,bigquery,0.0,1TB/month,1.7
2025-08-10,speech,0.0,60 minutes/month,1.7
2025-08-10,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-10,logging,0.0,50GB/month,1.7
2025-08-10,monitoring,0.0,Basic monitoring,1.7
2025-08-10,aiplatform,0.0,Not enabled,1.7
2025-08-10,cloudaicompanion,0.0,Basic usage,1.7
2025-08-09,cloud_functions,1.44,18 functions,1.7
2025-08-09,cloud_run,0.19,19 services,1.7
2025-08-09,firestore,0.04,1 database,1.7
2025-08-09,pubsub,0.02,10GB/month,1.7
2025-08-09,storage,0.01,5GB,1.7
2025-08-09,bigquery,0.0,1TB/month,1.7
2025-08-09,speech,0.0,60 minutes/month,1.7
2025-08-09,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-09,logging,0.0,50GB/month,1.7
2025-08-09,monitoring,0.0,Basic monitoring,1.7
2025-08-09,aiplatform,0.0,Not enabled,1.7
2025-08-09,cloudaicompanion,0.0,Basic usage,1.7
2025-08-08,cloud_functions,1.44,18 functions,1.7
2025-08-08,cloud_run,0.19,19 services,1.7
2025-08-08,firestore,0.04,1 database,1.7
2025-08-08,pubsub,0.02,10GB/month,1.7
2025-08-08,storage,0.01,5GB,1.7
2025-08-08,bigquery,0.0,1TB/month,1.7
2025-08-08,speech,0.0,60 minutes/month,1.7
2025-08-08,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-08,logging,0.0,50GB/month,1.7
2025-08-08,monitoring,0.0,Basic monitoring,1.7
2025-08-08,aiplatform,0.0,Not enabled,1.7
2025-08-08,cloudaicompanion,0.0,Basic usage,1.7
2025-08-07,cloud_functions,1.44,18 functions,1.7
2025-08-07,cloud_run,0.19,19 services,1.7
2025-08-07,firestore,0.04,1 database,1.7
2025-08-07,pubsub,0.02,10GB/month,1.7
2025-08-07,storage,0.01,5GB,1.7
2025-08-07,bigquery,0.0,1TB/month,1.7
2025-08-07,speech,0.0,60 minutes/month,1.7
2025-08-07,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-07,logging,0.0,50GB/month,1.7
2025-08-07,monitoring,0.0,Basic monitoring,1.7
2025-08-07,aiplatform,0.0,Not enabled,1.7
2025-08-07,cloudaicompanion,0.0,Basic usage,1.7
2025-08-06,cloud_functions,1.44,18 functions,1.7
2025-08-06,cloud_run,0.19,19 services,1.7
2025-08-06,firestore,0.04,1 database,1.7
2025-08-06,pubsub,0.02,10GB/month,1.7
2025-08-06,storage,0.01,5GB,1.7
2025-08-06,bigquery,0.0,1TB/month,1.7
2025-08-06,speech,0.0,60 minutes/month,1.7
2025-08-06,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-06,logging,0.0,50GB/month,1.7
2025-08-06,monitoring,0.0,Basic monitoring,1.7
2025-08-06,aiplatform,0.0,Not enabled,1.7
2025-08-06,cloudaicompanion,0.0,Basic usage,1.7
2025-08-05,cloud_functions,1.44,18 functions,1.7
2025-08-05,cloud_run,0.19,19 services,1.7
2025-08-05,firestore,0.04,1 database,1.7
2025-08-05,pubsub,0.02,10GB/month,1.7
2025-08-05,storage,0.01,5GB,1.7
2025-08-05,bigquery,0.0,1TB/month,1.7
2025-08-05,speech,0.0,60 minutes/month,1.7
2025-08-05,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-05,logging,0.0,50GB/month,1.7
2025-08-05,monitoring,0.0,Basic monitoring,1.7
2025-08-05,aiplatform,0.0,Not enabled,1.7
2025-08-05,cloudaicompanion,0.0,Basic usage,1.7
2025-08-04,cloud_functions,1.44,18 functions,1.7
2025-08-04,cloud_run,0.19,19 services,1.7
2025-08-04,firestore,0.04,1 database,1.7
2025-08-04,pubsub,0.02,10GB/month,1.7
2025-08-04,storage,0.01,5GB,1.7
2025-08-04,bigquery,0.0,1TB/month,1.7
2025-08-04,speech,0.0,60 minutes/month,1.7
2025-08-04,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-04,logging,0.0,50GB/month,1.7
2025-08-04,monitoring,0.0,Basic monitoring,1.7
2025-08-04,aiplatform,0.0,Not enabled,1.7
2025-08-04,cloudaicompanion,0.0,Basic usage,1.7
2025-08-03,cloud_functions,1.44,18 functions,1.7
2025-08-03,cloud_run,0.19,19 services,1.7
2025-08-03,firestore,0.04,1 database,1.7
2025-08-03,pubsub,0.02,10GB/month,1.7
2025-08-03,storage,0.01,5GB,1.7
2025-08-03,bigquery,0.0,1TB/month,1.7
2025-08-03,speech,0.0,60 minutes/month,1.7
2025-08-03,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-03,logging,0.0,50GB/month,1.7
2025-08-03,monitoring,0.0,Basic monitoring,1.7
2025-08-03,aiplatform,0.0,Not enabled,1.7
2025-08-03,cloudaicompanion,0.0,Basic usage,1.7
2025-08-02,cloud_functions,1.44,18 functions,1.7
2025-08-02,cloud_run,0.19,19 services,1.7
2025-08-02,firestore,0.04,1 database,1.7
2025-08-02,pubsub,0.02,10GB/month,1.7
2025-08-02,storage,0.01,5GB,1.7
2025-08-02,bigquery,0.0,1TB/month,1.7
2025-08-02,speech,0.0,60 minutes/month,1.7
2025-08-02,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-02,logging,0.0,50GB/month,1.7
2025-08-02,monitoring,0.0,Basic monitoring,1.7
2025-08-02,aiplatform,0.0,Not enabled,1.7
2025-08-02,cloudaicompanion,0.0,Basic usage,1.7
2025-08-01,cloud_functions,1.44,18 functions,1.7
2025-08-01,cloud_run,0.19,19 services,1.7
2025-08-01,firestore,0.04,1 database,1.7
2025-08-01,pubsub,0.02,10GB/month,1.7
2025-08-01,storage,0.01,5GB,1.7
2025-08-01,bigquery,0.0,1TB/month,1.7
2025-08-01,speech,0.0,60 minutes/month,1.7
2025-08-01,cloudbuild,0.0,120 build-minutes/day,1.7
2025-08-01,logging,0.0,50GB/month,1.7
2025-08-01,monitoring,0.0,Basic monitoring,1.7
2025-08-01,aiplatform,0.0,Not enabled,1.7
2025-08-01,cloudaicompanion,0.0,Basic usage,1.7
